attack,avg_acc,avg_f1
baseline_train_same_domain_post,71.21149999999999,70.028
surviving_edges_same_domain_post_20p,73.66300000000001,77.3535
surviving_edges_same_domain_post_40p,72.677,76.44749999999999
surviving_edges_same_domain_post_60p,74.36749999999999,78.29549999999999
surviving_edges_same_domain_post_80p,71.89,76.39
baseline_train_same_domain_dist,73.23,77.27849999999998
surviving_edges_same_domain_dist_20p,74.14949999999999,78.30199999999999
surviving_edges_same_domain_dist_40p,77.16399999999999,80.5555
surviving_edges_same_domain_dist_60p,80.62100000000001,83.14700000000002
surviving_edges_same_domain_dist_80p,80.55300000000001,83.3375
